,serial_number,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_tests_permillion,total_pop
228,221,Tuvalu,"2,943",,1,,,,"2,942",,"243,909",83,,
48,41,Hong Kong,"2,920,721",,"14,254",,"2,903,077",,"3,390",28,"384,088","1,874","76,127,725","10,011,143"
49,42,Sweden,"2,717,578",,"24,888",,"2,690,694",+48,"1,996",1,"265,935","2,435","19,500,873","1,908,301"
50,43,Singapore,"2,588,520",,"1,885",,"2,149,583",,"437,052",3,"435,518",317,"24,756,666","4,165,302"
51,44,Serbia,"2,556,026",,"18,057",,"2,531,318",,"6,651",,"295,391","2,087","13,088,879","1,512,638"
52,45,New Zealand,"2,470,435",,"4,849",,"2,464,120",,"1,466",,"504,355",990,"7,768,604","1,586,011"
53,46,Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523"
54,47,Hungary,"2,204,488",,"48,881",,"2,152,155",,"3,452",2,"229,485","5,088","11,394,556","1,186,160"
229,222,Saint Helena,"2,166",,,,2,,"2,164",,"354,211",,,
55,48,Bangladesh,"2,045,671",,"29,477",,"1,998,448",,"17,746",N/A,"12,185",176,"15,254,399","90,862"
125,118,Trinidad and Tobago,"191,496",,"4,390",,"187,078",,28,8,"136,143","3,121","913,289","649,295"
186,179,Grenada,"19,693",,238,,"19,358",,97,4,"173,545","2,097","182,981","1,612,523"
126,119,Maldives,"186,694",,316,,"163,687",,"22,691",25,"345,100",584,"2,213,831","4,092,223"
187,180,Bermuda,"18,860",,165,,"18,685",,10,,"304,493","2,664","1,029,558","16,622,128"
188,181,Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,
189,182,Macao,"18,401",,123,,"3,487",,"14,791",,"27,567",184,"7,850","11,760"
190,183,South Sudan,"18,368",,138,,"18,115",,115,1,"1,581",12,"410,280","35,313"
127,120,Namibia,"171,998",,"4,098",,"167,099",,801,,"65,302","1,556","1,062,663","403,460"
128,121,Uganda,"171,829",,"3,632",,"100,431",,"67,766",3,"3,548",75,"3,012,408","62,198"
129,122,Ghana,"171,780",,"1,462",,"170,318",,0,2,"5,303",45,"2,538,052","78,346"
191,184,Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,
18,11,Turkey,"17,232,066",,"102,174",,N/A,N/A,N/A,,"201,399","1,194","162,743,369","1,902,052"
